FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.14638581,14638581,POINT (16.354826912367486 48.156185669626424),Otto-Probst-Straße,Otto-Probst-Straße,N65,,11,https://anachb.vor.at?P=SQ&input=Wien%20Otto-Probst-Straße&start=1,
OEFFHALTESTOGD.14638582,14638582,POINT (16.354817912399202 48.156311569217806),Otto-Probst-Straße,Otto-Probst-Straße,N65,,10,https://anachb.vor.at?P=SQ&input=Wien%20Otto-Probst-Straße&start=1,
OEFFHALTESTOGD.14638583,14638583,POINT (16.354817912399202 48.156311569217806),Otto-Probst-Straße,Otto-Probst-Straße,N65,,11,https://anachb.vor.at?P=SQ&input=Wien%20Otto-Probst-Straße&start=1,
OEFFHALTESTOGD.14638584,14638584,POINT (16.364906012059027 48.169972970050864),Troststraße/Neilreichgasse,Troststraße/Neilreichgasse,"11,65A,N65,O",,10,https://anachb.vor.at?P=SQ&input=Wien%20Troststraße/Neilreichgasse&start=1,
OEFFHALTESTOGD.14638585,14638585,POINT (16.364906012059027 48.169972970050864),Troststraße/Neilreichgasse,Troststraße/Neilreichgasse,"11,65A,N65,O",,11,https://anachb.vor.at?P=SQ&input=Wien%20Troststraße/Neilreichgasse&start=1,
OEFFHALTESTOGD.14638586,14638586,POINT (16.36433111252993 48.16972136991365),Troststraße/Neilreichgasse,Troststraße/Neilreichgasse,"11,N65,O",,10,https://anachb.vor.at?P=SQ&input=Wien%20Troststraße/Neilreichgasse&start=1,
OEFFHALTESTOGD.14638587,14638587,POINT (16.36433111252993 48.16972136991365),Troststraße/Neilreichgasse,Troststraße/Neilreichgasse,"11,N65,O",,11,https://anachb.vor.at?P=SQ&input=Wien%20Troststraße/Neilreichgasse&start=1,
OEFFHALTESTOGD.14638588,14638588,POINT (16.48414831247653 48.2391710697135),Zanggasse,Zanggasse,"26,85A,95B,97A,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Zanggasse&start=1,
OEFFHALTESTOGD.14638589,14638589,POINT (16.48414831247653 48.2391710697135),Zanggasse,Zanggasse,"26,85A,95B,97A,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Zanggasse&start=1,
OEFFHALTESTOGD.14638590,14638590,POINT (16.48775061305911 48.23708896947417),Am Heidjöchl,Am Heidjöchl,"26,85A,95B,97A,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Heidjöchl&start=1,
OEFFHALTESTOGD.14638591,14638591,POINT (16.48775061305911 48.23708896947417),Am Heidjöchl,Am Heidjöchl,"26,85A,95B,97A,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Heidjöchl&start=1,
OEFFHALTESTOGD.14638592,14638592,POINT (16.487822513161895 48.237166670123145),Am Heidjöchl,Am Heidjöchl,"26,85A,95B,97A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Heidjöchl&start=1,
OEFFHALTESTOGD.14638593,14638593,POINT (16.487822513161895 48.237166670123145),Am Heidjöchl,Am Heidjöchl,"26,85A,95B,97A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Heidjöchl&start=1,
OEFFHALTESTOGD.14638594,14638594,POINT (16.48148031280378 48.2380701698649),Frederick-Loewe-Weg,Frederick-Loewe-Weg,N23,,10,https://anachb.vor.at?P=SQ&input=Wien%20Frederick-Loewe-Weg&start=1,
OEFFHALTESTOGD.14638595,14638595,POINT (16.48148031280378 48.2380701698649),Frederick-Loewe-Weg,Frederick-Loewe-Weg,N23,,11,https://anachb.vor.at?P=SQ&input=Wien%20Frederick-Loewe-Weg&start=1,
OEFFHALTESTOGD.14638596,14638596,POINT (16.45174611266565 48.2467329694098),Afritschgasse,Afritschgasse,"22A,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Afritschgasse&start=1,
OEFFHALTESTOGD.14638597,14638597,POINT (16.45174611266565 48.2467329694098),Afritschgasse,Afritschgasse,"22A,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Afritschgasse&start=1,
OEFFHALTESTOGD.14638598,14638598,POINT (16.451701212604508 48.247402969935635),Afritschgasse,Afritschgasse,"22A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Afritschgasse&start=1,
OEFFHALTESTOGD.14638599,14638599,POINT (16.451701212604508 48.247402969935635),Afritschgasse,Afritschgasse,"22A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Afritschgasse&start=1,
OEFFHALTESTOGD.14638600,14638600,POINT (16.487355312281277 48.233881870038104),Hausfeldstraße (Unterführung),Hausfeldstraße (Unterführung),"26,85A,95B,97A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Hausfeldstraße&start=1,
OEFFHALTESTOGD.14638601,14638601,POINT (16.487355312281277 48.233881870038104),Hausfeldstraße (Unterführung),Hausfeldstraße (Unterführung),"26,85A,95B,97A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Hausfeldstraße&start=1,
OEFFHALTESTOGD.14638602,14638602,POINT (16.487130812666763 48.23368436992405),Hausfeldstraße (Unterführung),Hausfeldstraße (Unterführung),"26,85A,95B,97A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Hausfeldstraße&start=1,
OEFFHALTESTOGD.14638603,14638603,POINT (16.487130812666763 48.23368436992405),Hausfeldstraße (Unterführung),Hausfeldstraße (Unterführung),"26,85A,95B,97A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Hausfeldstraße&start=1,
OEFFHALTESTOGD.14638604,14638604,POINT (16.47849791252738 48.237471869268624),Gladiolenweg,Gladiolenweg,"95A,95B,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Gladiolenweg&start=1,
OEFFHALTESTOGD.14638605,14638605,POINT (16.47849791252738 48.237471869268624),Gladiolenweg,Gladiolenweg,"95A,95B,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Gladiolenweg&start=1,
OEFFHALTESTOGD.14638606,14638606,POINT (16.47904591271085 48.23771716990699),Gladiolenweg,Gladiolenweg,"95A,95B,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Gladiolenweg&start=1,
OEFFHALTESTOGD.14638607,14638607,POINT (16.47904591271085 48.23771716990699),Gladiolenweg,Gladiolenweg,"95A,95B,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Gladiolenweg&start=1,
OEFFHALTESTOGD.14638608,14638608,POINT (16.443355812735696 48.250561369600995),Kagraner Platz (Busbahnhof),Kagraner Platz (Busbahnhof),"22A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Kagraner%20Platz&start=1,
OEFFHALTESTOGD.14638609,14638609,POINT (16.443355812735696 48.250561369600995),Kagraner Platz (Busbahnhof),Kagraner Platz (Busbahnhof),"22A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Kagraner%20Platz&start=1,
OEFFHALTESTOGD.14638610,14638610,POINT (16.466056313063756 48.23486906992173),Hirschstetten Ort,Hirschstetten Ort,"22A,95A,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Hirschstetten%20Ort&start=1,
OEFFHALTESTOGD.14638611,14638611,POINT (16.466056313063756 48.23486906992173),Hirschstetten Ort,Hirschstetten Ort,"22A,95A,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Hirschstetten%20Ort&start=1,
OEFFHALTESTOGD.14638612,14638612,POINT (16.466200012976632 48.23496487008225),Hirschstetten Ort,Hirschstetten Ort,"22A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Hirschstetten%20Ort&start=1,
OEFFHALTESTOGD.14638613,14638613,POINT (16.466200012976632 48.23496487008225),Hirschstetten Ort,Hirschstetten Ort,"22A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Hirschstetten%20Ort&start=1,
OEFFHALTESTOGD.14638614,14638614,POINT (16.472712812691174 48.23601796927334),Blumengärten Hirschstetten,Blumengärten Hirschstetten,"95A,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Blumengärten%20Hirschstetten&start=1,
OEFFHALTESTOGD.14638615,14638615,POINT (16.472712812691174 48.23601796927334),Blumengärten Hirschstetten,Blumengärten Hirschstetten,"95A,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Blumengärten%20Hirschstetten&start=1,
OEFFHALTESTOGD.14638616,14638616,POINT (16.471032913064143 48.235802569377014),Blumengärten Hirschstetten,Blumengärten Hirschstetten,"95A,95B,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Blumengärten%20Hirschstetten&start=1,
OEFFHALTESTOGD.14638617,14638617,POINT (16.471032913064143 48.235802569377014),Blumengärten Hirschstetten,Blumengärten Hirschstetten,"95A,95B,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Blumengärten%20Hirschstetten&start=1,
OEFFHALTESTOGD.14638618,14638618,POINT (16.475542512137075 48.236616269842784),Murraygasse,Murraygasse,"95A,95B,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.14638619,14638619,POINT (16.475542512137075 48.236616269842784),Murraygasse,Murraygasse,"95A,95B,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.14638620,14638620,POINT (16.47544371305325 48.23674186960134),Murraygasse,Murraygasse,"95A,95B,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.14638621,14638621,POINT (16.47544371305325 48.23674186960134),Murraygasse,Murraygasse,"95A,95B,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.14638622,14638622,POINT (16.44984171272211 48.248497669849144),Kraygasse,Kraygasse,"22A,24A,26,27,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Kraygasse&start=1,
OEFFHALTESTOGD.14638623,14638623,POINT (16.44984171272211 48.248497669849144),Kraygasse,Kraygasse,"22A,24A,26,27,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Kraygasse&start=1,
OEFFHALTESTOGD.14638624,14638624,POINT (16.448781713143585 48.24865917003059),Kraygasse,Kraygasse,"22A,24A,26,27,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Kraygasse&start=1,
OEFFHALTESTOGD.14638625,14638625,POINT (16.448781713143585 48.24865917003059),Kraygasse,Kraygasse,"22A,24A,26,27,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Kraygasse&start=1,
OEFFHALTESTOGD.14638626,14638626,POINT (16.482226012899734 48.239960769948226),Prinzgasse,Prinzgasse,"26,27,95A,95B,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Prinzgasse&start=1,
OEFFHALTESTOGD.14638627,14638627,POINT (16.482226012899734 48.239960769948226),Prinzgasse,Prinzgasse,"26,27,95A,95B,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Prinzgasse&start=1,
OEFFHALTESTOGD.14638628,14638628,POINT (16.46213061308786 48.2364008700291),Süßenbrunner Straße (Hirschstettner Straße 69),Süßenbrunner Straße (Hirschstettner Straße 69),"22A,87A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Süßenbrunner%20Straße&start=1,
OEFFHALTESTOGD.14638629,14638629,POINT (16.46213061308786 48.2364008700291),Süßenbrunner Straße (Hirschstettner Straße 69),Süßenbrunner Straße (Hirschstettner Straße 69),"22A,87A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Süßenbrunner%20Straße&start=1,
OEFFHALTESTOGD.14638630,14638630,POINT (16.461699412329917 48.23677186964248),Süßenbrunner Straße (Hirschstettner Straße 68),Süßenbrunner Straße (Hirschstettner Straße 68),"22A,87A,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Süßenbrunner%20Straße&start=1,
OEFFHALTESTOGD.14638631,14638631,POINT (16.461699412329917 48.23677186964248),Süßenbrunner Straße (Hirschstettner Straße 68),Süßenbrunner Straße (Hirschstettner Straße 68),"22A,87A,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Süßenbrunner%20Straße&start=1,
OEFFHALTESTOGD.14638632,14638632,POINT (16.455941213326135 48.24361616964284),Pogrelzstraße,Pogrelzstraße,"22A,N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Pogrelzstraße&start=1,
OEFFHALTESTOGD.14638633,14638633,POINT (16.455941213326135 48.24361616964284),Pogrelzstraße,Pogrelzstraße,"22A,N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Pogrelzstraße&start=1,
OEFFHALTESTOGD.14638634,14638634,POINT (16.45590531210324 48.243388869693774),Pogrelzstraße,Pogrelzstraße,"22A,N23,N24",,10,https://anachb.vor.at?P=SQ&input=Wien%20Pogrelzstraße&start=1,
OEFFHALTESTOGD.14638635,14638635,POINT (16.45590531210324 48.243388869693774),Pogrelzstraße,Pogrelzstraße,"22A,N23,N24",,11,https://anachb.vor.at?P=SQ&input=Wien%20Pogrelzstraße&start=1,
OEFFHALTESTOGD.14630474,14630474,POINT (16.404431812336362 48.250310169695865),Morelligasse,Morelligasse,33A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Morelligasse&start=1,
OEFFHALTESTOGD.14630475,14630475,POINT (16.40388391203042 48.250561369563506),Morelligasse,Morelligasse,33A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Morelligasse&start=1,
OEFFHALTESTOGD.14630476,14630476,POINT (16.360665913131786 48.22114116932637),Bauernfeldplatz (Porzellangasse),Bauernfeldplatz (Porzellangasse),"1,D,N38",,1,https://anachb.vor.at?P=SQ&input=Wien%20Bauernfeldplatz&start=1,
OEFFHALTESTOGD.14630477,14630477,POINT (16.360171912877178 48.22064436970137),Bauernfeldplatz (Liechtensteinstraße),Bauernfeldplatz (Liechtensteinstraße),40A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Bauernfeldplatz&start=1,
OEFFHALTESTOGD.14630478,14630478,POINT (16.36090851295346 48.22068026975914),Bauernfeldplatz (Porzellangasse),Bauernfeldplatz (Porzellangasse),"1,D,N38",,1,https://anachb.vor.at?P=SQ&input=Wien%20Bauernfeldplatz&start=1,
OEFFHALTESTOGD.14630479,14630479,POINT (16.360306612996915 48.22074016940285),Bauernfeldplatz (Liechtensteinstraße),Bauernfeldplatz (Liechtensteinstraße),40A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Bauernfeldplatz&start=1,
OEFFHALTESTOGD.14630480,14630480,POINT (16.27740111201802 48.196638269913834),"Linzer Straße, Hochsatzengasse","Linzer Straße, Hochsatzengasse","49,52",,1,"https://anachb.vor.at?P=SQ&input=Wien%20Linzer%20Straße,%20Hochsatzengasse&start=1",
OEFFHALTESTOGD.14630481,14630481,POINT (16.276826212259508 48.19663826975729),"Linzer Straße, Hochsatzengasse","Linzer Straße, Hochsatzengasse",47A,,2,"https://anachb.vor.at?P=SQ&input=Wien%20Linzer%20Straße,%20Hochsatzengasse&start=1",
OEFFHALTESTOGD.14630482,14630482,POINT (16.27661061188138 48.1970155694843),"Linzer Straße, Hochsatzengasse","Linzer Straße, Hochsatzengasse","49,52",,1,"https://anachb.vor.at?P=SQ&input=Wien%20Linzer%20Straße,%20Hochsatzengasse&start=1",
OEFFHALTESTOGD.14630483,14630483,POINT (16.2791708126094 48.20135656995923),"Baumgartner Friedhof, 3. Tor","Baumgartner Friedhof, 3. Tor",47A,,2,"https://anachb.vor.at?P=SQ&input=Wien%20Baumgartner%20Friedhof,%203.%20Tor&start=1",
OEFFHALTESTOGD.14630484,14630484,POINT (16.27897311256142 48.20148836926506),"Baumgartner Friedhof, 3. Tor","Baumgartner Friedhof, 3. Tor",47A,,2,"https://anachb.vor.at?P=SQ&input=Wien%20Baumgartner%20Friedhof,%203.%20Tor&start=1",
OEFFHALTESTOGD.14630485,14630485,POINT (16.40454861326101 48.19308136961088),Baumgasse,Baumgasse,18,,1,https://anachb.vor.at?P=SQ&input=Wien%20Baumgasse&start=1,
OEFFHALTESTOGD.14630486,14630486,POINT (16.40489001291901 48.19352446989837),Baumgasse,Baumgasse,18,,1,https://anachb.vor.at?P=SQ&input=Wien%20Baumgasse&start=1,
OEFFHALTESTOGD.14630487,14630487,POINT (16.405105613131212 48.19317116976921),Baumgasse,Baumgasse,80A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Baumgasse&start=1,
OEFFHALTESTOGD.14630488,14630488,POINT (16.362705112400608 48.25952106984765),"Nußdorf, Beethovengang","Nußdorf, Beethovengang",D,,1,"https://anachb.vor.at?P=SQ&input=Wien%20Nußdorf,%20Beethovengang&start=1",
OEFFHALTESTOGD.14630489,14630489,POINT (16.36277701202734 48.25977226935751),"Nußdorf, Beethovengang","Nußdorf, Beethovengang",D,,1,"https://anachb.vor.at?P=SQ&input=Wien%20Nußdorf,%20Beethovengang&start=1",
OEFFHALTESTOGD.14630490,14630490,POINT (16.36253441240866 48.25950316965679),"Nußdorf, Beethovengang","Nußdorf, Beethovengang",38B,,2,"https://anachb.vor.at?P=SQ&input=Wien%20Nußdorf,%20Beethovengang&start=1",
OEFFHALTESTOGD.14630491,14630491,POINT (16.360423412155516 48.174328269502254),Belgradplatz,Belgradplatz,7A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Belgradplatz&start=1,
OEFFHALTESTOGD.14630492,14630492,POINT (16.358519012347863 48.17403476945202),Belgradplatz (Gußriegelstraße),Belgradplatz (Gußriegelstraße),7A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Belgradplatz&start=1,
OEFFHALTESTOGD.14630493,14630493,POINT (16.328488313063723 48.24908386959464),Bellevuestraße (Windhabergasse),Bellevuestraße (Windhabergasse),39A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Bellevuestraße&start=1,
OEFFHALTESTOGD.14630494,14630494,POINT (16.328362512336287 48.24828236948027),Bellevuestraße (Sieveringer Straße),Bellevuestraße (Sieveringer Straße),39A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Bellevuestraße&start=1,
OEFFHALTESTOGD.14630495,14630495,POINT (16.387058413073063 48.26273256954558),"Jedlesee, Bellgasse","Jedlesee, Bellgasse",34A,,2,"https://anachb.vor.at?P=SQ&input=Wien%20Jedlesee,%20Bellgasse&start=1",
OEFFHALTESTOGD.14630496,14630496,POINT (16.38691471247473 48.26252326932524),"Jedlesee, Bellgasse","Jedlesee, Bellgasse",34A,,2,"https://anachb.vor.at?P=SQ&input=Wien%20Jedlesee,%20Bellgasse&start=1",
OEFFHALTESTOGD.14630497,14630497,POINT (16.409660012481275 48.17042226954281),Am Kanal (Leberstraße),Am Kanal (Leberstraße),69A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Kanal&start=1,
OEFFHALTESTOGD.14630498,14630498,POINT (16.410684112331634 48.17034447007439),Am Kanal (Grillgasse),Am Kanal (Grillgasse),15A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Kanal&start=1,
OEFFHALTESTOGD.14630499,14630499,POINT (16.418221013007255 48.16355016977399),Am Kanal/Hasenleitengasse,Am Kanal/Hasenleitengasse,"69A,72A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Kanal/Hasenleitengasse&start=1,
OEFFHALTESTOGD.14630500,14630500,POINT (16.418418612511356 48.163520169868505),Am Kanal/Hasenleitengasse,Am Kanal/Hasenleitengasse,"69A,72A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Kanal/Hasenleitengasse&start=1,
OEFFHALTESTOGD.14630501,14630501,POINT (16.38276451191004 48.19906936998886),Am Modenapark,Am Modenapark,4A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Modenapark&start=1,
OEFFHALTESTOGD.14630502,14630502,POINT (16.382746512545655 48.199165169624074),Am Modenapark,Am Modenapark,4A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Modenapark&start=1,
OEFFHALTESTOGD.14630503,14630503,POINT (16.30112561225634 48.18584086959529),Am Platz (Maxingstraße),Am Platz (Maxingstraße),"56A,56B,58A,58B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Platz&start=1,
OEFFHALTESTOGD.14630504,14630504,POINT (16.301826312642394 48.18599656972364),Am Platz,Am Platz,"56A,56B,58A,58B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Platz&start=1,
OEFFHALTESTOGD.14630505,14630505,POINT (16.29104651223639 48.1622199692882),Am Rosenhügel (Rosenhügelstraße),Am Rosenhügel (Rosenhügelstraße),"56A,58A,58B,63A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Rosenhügel&start=1,
OEFFHALTESTOGD.14630506,14630506,POINT (16.290974612519197 48.161794569995244),Am Rosenhügel,Am Rosenhügel,63A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Rosenhügel&start=1,
OEFFHALTESTOGD.14630507,14630507,POINT (16.29150461304529 48.16171666934107),Am Rosenhügel (Atzgersdorfer Straße),Am Rosenhügel (Atzgersdorfer Straße),"56A,58A,58B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Rosenhügel&start=1,
OEFFHALTESTOGD.14630508,14630508,POINT (16.291935812620387 48.162195969825454),Am Rosenhügel (Wundtgasse),Am Rosenhügel (Wundtgasse),63A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Rosenhügel&start=1,
OEFFHALTESTOGD.14630509,14630509,POINT (16.28200941299795 48.152440069248215),Am Spiegeln,Am Spiegeln,"56A,58B,60A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Spiegeln&start=1,
OEFFHALTESTOGD.14630510,14630510,POINT (16.281937612916906 48.15235616921931),Am Spiegeln,Am Spiegeln,"56A,58B,60A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Spiegeln&start=1,
OEFFHALTESTOGD.14630511,14630511,POINT (16.397541812236014 48.25824126940112),Am Spitz,Am Spitz,"26,27",,1,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Spitz&start=1,
OEFFHALTESTOGD.14630512,14630512,POINT (16.397609114843174 48.25739194804745),Am Spitz (Floridsdorfer Hauptstraße),Am Spitz (Floridsdorfer Hauptstraße),"176,33A,N29",,3,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Spitz&start=1,
OEFFHALTESTOGD.14630513,14630513,POINT (16.39709261197132 48.25831896994936),Am Spitz,Am Spitz,"26,27",,1,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Spitz&start=1,
OEFFHALTESTOGD.14630514,14630514,POINT (16.39735761457392 48.258175447896456),Am Spitz,Am Spitz,"34A,850,N20",,3,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Spitz&start=1,
OEFFHALTESTOGD.14630515,14630515,POINT (16.383043012336927 48.225528069332874),Am Tabor (Nordwestbahnstraße),Am Tabor (Nordwestbahnstraße),5,,1,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Tabor&start=1,
OEFFHALTESTOGD.14630516,14630516,POINT (16.384013112350825 48.225605869734395),Am Tabor,Am Tabor,"2,N29",,1,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Tabor&start=1,
OEFFHALTESTOGD.14630517,14630517,POINT (16.384022113124967 48.2251031698672),Am Tabor,Am Tabor,"5,O",,1,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Tabor&start=1,
OEFFHALTESTOGD.14630518,14630518,POINT (16.38375261226643 48.22551606937837),Am Tabor,Am Tabor,"2,N29",,1,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Tabor&start=1,
OEFFHALTESTOGD.14630519,14630519,POINT (16.345376612504047 48.17016466973079),Gesundheitszentrum Süd (Köglergasse),Gesundheitszentrum Süd (Köglergasse),7A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Gesundheitszentrum%20Süd&start=1,
OEFFHALTESTOGD.14630520,14630520,POINT (16.292151412311544 48.201446369643364),Ameisbachzeile/Hanusch-Krankenhaus,Ameisbachzeile/Hanusch-Krankenhaus,51A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ameisbachzeile/Hanusch-Krankenhaus&start=1,
OEFFHALTESTOGD.14630521,14630521,POINT (16.291998712101385 48.20140447011836),Ameisbachzeile/Hanusch-Krankenhaus,Ameisbachzeile/Hanusch-Krankenhaus,51A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ameisbachzeile/Hanusch-Krankenhaus&start=1,
OEFFHALTESTOGD.14630522,14630522,POINT (16.29949071279285 48.194734069497244),Ameisgasse,Ameisgasse,51A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ameisgasse&start=1,
OEFFHALTESTOGD.14630523,14630523,POINT (16.299095413022314 48.193937669478345),Ameisgasse,Ameisgasse,"49,52",,1,https://anachb.vor.at?P=SQ&input=Wien%20Ameisgasse&start=1,
OEFFHALTESTOGD.14630524,14630524,POINT (16.29967031206538 48.19439277012319),Ameisgasse,Ameisgasse,51A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ameisgasse&start=1,
OEFFHALTESTOGD.14630525,14630525,POINT (16.29993081247889 48.19382987007639),Ameisgasse,Ameisgasse,"49,52",,1,https://anachb.vor.at?P=SQ&input=Wien%20Ameisgasse&start=1,
OEFFHALTESTOGD.14630526,14630526,POINT (16.350874312220142 48.19808136990667),Neubaugasse (Schadekgasse),Neubaugasse (Schadekgasse),"13A,14A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Neubaugasse&start=1,
OEFFHALTESTOGD.14630527,14630527,POINT (16.260431912053033 48.21853756966064),Ammerweg,Ammerweg,52B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ammerweg&start=1,
OEFFHALTESTOGD.14630528,14630528,POINT (16.260485811965612 48.218483669288716),Ammerweg,Ammerweg,52B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ammerweg&start=1,
OEFFHALTESTOGD.14630529,14630529,POINT (16.469317212575714 48.23026156980368),Amongasse,Amongasse,95B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Amongasse&start=1,
OEFFHALTESTOGD.14630530,14630530,POINT (16.298520512781334 48.1371433695579),An den Steinfeldern,An den Steinfeldern,64A,,2,https://anachb.vor.at?P=SQ&input=Wien%20An%20den%20Steinfeldern&start=1,
OEFFHALTESTOGD.14630531,14630531,POINT (16.298331812344415 48.13758696938135),An den Steinfeldern,An den Steinfeldern,61A,,2,https://anachb.vor.at?P=SQ&input=Wien%20An%20den%20Steinfeldern&start=1,
OEFFHALTESTOGD.14630532,14630532,POINT (16.29908641202616 48.137293269854545),An den Steinfeldern,An den Steinfeldern,64A,,2,https://anachb.vor.at?P=SQ&input=Wien%20An%20den%20Steinfeldern&start=1,
OEFFHALTESTOGD.14630533,14630533,POINT (16.297936611737857 48.1370474699457),An den Steinfeldern,An den Steinfeldern,61A,,2,https://anachb.vor.at?P=SQ&input=Wien%20An%20den%20Steinfeldern&start=1,
OEFFHALTESTOGD.14630534,14630534,POINT (16.48997841310444 48.22667107004431),An den alten Schanzen,An den alten Schanzen,97A,,2,https://anachb.vor.at?P=SQ&input=Wien%20An%20den%20alten%20Schanzen&start=1,
OEFFHALTESTOGD.14630535,14630535,POINT (16.34196301218328 48.25300786970784),An den langen Lüssen,An den langen Lüssen,"38,N38",,1,https://anachb.vor.at?P=SQ&input=Wien%20An%20den%20langen%20Lüssen&start=1,
OEFFHALTESTOGD.14630536,14630536,POINT (16.34181931202004 48.25246346937681),An den langen Lüssen,An den langen Lüssen,38,,1,https://anachb.vor.at?P=SQ&input=Wien%20An%20den%20langen%20Lüssen&start=1,
