FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.14630428,14630428,POINT (16.370304813072455 48.193919669870596),Taubstummengasse,Taubstummengasse,"N66,U1",,4,https://anachb.vor.at?P=SQ&input=Wien%20Taubstummengasse&start=1,
OEFFHALTESTOGD.14630429,14630429,POINT (16.33831581223313 48.20828956933295),Thaliastraße,Thaliastraße,"46,N46,N8,U6",,4,https://anachb.vor.at?P=SQ&input=Wien%20Thaliastraße&start=1,
OEFFHALTESTOGD.14630430,14630430,POINT (16.383959237810565 48.234297748865984),Traisengasse,Traisengasse,"12,2,37A,5A,CJX9,N29,O,R1,R3,R4,REX1,REX2,REX3,REX7,REX92,S1,S2,S3,S4,S7,S80",,5,https://anachb.vor.at?P=SQ&input=Wien%20Traisengasse&start=1,
OEFFHALTESTOGD.14630431,14630431,POINT (16.3278235122536 48.165036069992844),Tscherttegasse,Tscherttegasse,U6,,4,https://anachb.vor.at?P=SQ&input=Wien%20Tscherttegasse&start=1,
OEFFHALTESTOGD.14630432,14630432,POINT (16.286752512767382 48.19100336927097),Unter St. Veit,Unter St. Veit,"47A,N54,U4",,4,https://anachb.vor.at?P=SQ&input=Wien%20Unter%20St.%20Veit&start=1,
OEFFHALTESTOGD.14630433,14630433,POINT (16.39889824575366 48.18834134946705),St. Marx,St. Marx,"18,71,74A,D,N71,S7",,5,https://anachb.vor.at?P=SQ&input=Wien%20St.%20Marx&start=1,
OEFFHALTESTOGD.14630434,14630434,POINT (16.357935012397334 48.20515846941139),Volkstheater,Volkstheater,"13A,48A,49,N46,N49,U2,U3",,4,https://anachb.vor.at?P=SQ&input=Wien%20Volkstheater&start=1,
OEFFHALTESTOGD.14630435,14630435,POINT (16.401889612794992 48.2240916699358),Vorgartenstraße,Vorgartenstraße,"11A,12,N25,U1",,4,https://anachb.vor.at?P=SQ&input=Wien%20Vorgartenstraße&start=1,
OEFFHALTESTOGD.14630436,14630436,POINT (16.21229114690263 48.21049554970228),Weidlingau Bahnhof,Weidlingau Bahnhof,S50,,5,https://anachb.vor.at?P=SQ&input=Wien%20Weidlingau%20Bahnhof&start=1,
OEFFHALTESTOGD.14630437,14630437,POINT (16.337651113393147 48.19668324970132),Westbahnhof,Westbahnhof,"096,18,49,5,52,6,60,9,CJX5,D 1140,D 1141,D 1144,D 1146,D 19780,D 19781,D 19782,D 19783,D 19785,D 346,D 347,D 40007,D 40347,D 40749,D 50347,EC 100,EC 101,EC 102,EC 103,EC 106,EC 107,EC 140,EC 141,EC 14",,5,https://anachb.vor.at?P=SQ&input=Wien%20Westbahnhof&start=1,
OEFFHALTESTOGD.14630438,14630438,POINT (16.337651112595655 48.19665626998706),Westbahnhof,Westbahnhof,"096,18,49,5,52,6,60,9,CJX5,D 1140,D 1141,D 1144,D 1146,D 19780,D 19781,D 19782,D 19783,D 19785,D 346,D 347,D 40007,D 40347,D 40749,D 50347,EC 100,EC 101,EC 102,EC 103,EC 106,EC 107,EC 140,EC 141,EC 14",,4,https://anachb.vor.at?P=SQ&input=Wien%20Westbahnhof&start=1,
OEFFHALTESTOGD.14630439,14630439,POINT (16.385962512079406 48.14569146942698),Neulaa,Neulaa,"16A,17A,67A,67B,N17,N67,U1",,4,https://anachb.vor.at?P=SQ&input=Wien%20Neulaa&start=1,
OEFFHALTESTOGD.14630440,14630440,POINT (16.236401959421112 48.20476034970651),Wolf in der Au,Wolf in der Au,"450,451,453,50A,N49,S50",,5,https://anachb.vor.at?P=SQ&input=Wien%20Wolf%20in%20der%20Au&start=1,
OEFFHALTESTOGD.14630441,14630441,POINT (16.31687311265931 48.15090586941634),Alterlaa,Alterlaa,"60A,64A,64B,66A,67B,N64,N66,N8,U6",,4,https://anachb.vor.at?P=SQ&input=Wien%20Alterlaa&start=1,
OEFFHALTESTOGD.14630442,14630442,POINT (16.349472912187867 48.22546816933572),Währinger Straße-Volksoper,Währinger Straße-Volksoper,"40,40A,41,42,N41,N8,U6",,4,https://anachb.vor.at?P=SQ&input=Wien%20Währinger%20Straße-Volksoper&start=1,
OEFFHALTESTOGD.14630443,14630443,POINT (16.345969512948535 48.197105369933254),Zieglergasse,Zieglergasse,U3,,4,https://anachb.vor.at?P=SQ&input=Wien%20Zieglergasse&start=1,
OEFFHALTESTOGD.14630444,14630444,POINT (16.426287960095067 48.153839549075215),Zentralfriedhof,Zentralfriedhof,"71B,S7",,5,https://anachb.vor.at?P=SQ&input=Wien%20Zentralfriedhof&start=1,
OEFFHALTESTOGD.14630445,14630445,POINT (16.380303112323038 48.169056369497),Troststraße,Troststraße,"65A,66A,N66,N67,U1",,4,https://anachb.vor.at?P=SQ&input=Wien%20Troststraße&start=1,
OEFFHALTESTOGD.14630446,14630446,POINT (16.42366481198422 48.237950470134784),Alte Donau (Arbeiterstrandbadstraße),Alte Donau (Arbeiterstrandbadstraße),20B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Alte%20Donau&start=1,
OEFFHALTESTOGD.14630447,14630447,POINT (16.423772613131774 48.23802826980342),Alte Donau (Arbeiterstrandbadstraße),Alte Donau (Arbeiterstrandbadstraße),20B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Alte%20Donau&start=1,
OEFFHALTESTOGD.14630448,14630448,POINT (16.323601412925818 48.17765896960636),Ratschkygasse,Ratschkygasse,9A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ratschkygasse&start=1,
OEFFHALTESTOGD.14630449,14630449,POINT (16.359228613123662 48.228957069329155),Althanstraße,Althanstraße,"1,D",,1,https://anachb.vor.at?P=SQ&input=Wien%20Althanstraße&start=1,
OEFFHALTESTOGD.14630450,14630450,POINT (16.359749613070072 48.22874166927331),Althanstraße,Althanstraße,"1,D",,1,https://anachb.vor.at?P=SQ&input=Wien%20Althanstraße&start=1,
OEFFHALTESTOGD.14630451,14630451,POINT (16.31628021219675 48.16531176965843),Altmannsdorfer Straße (Breitenfurter Straße),Altmannsdorfer Straße (Breitenfurter Straße),"62,62A",,1,https://anachb.vor.at?P=SQ&input=Wien%20Altmannsdorfer%20Straße&start=1,
OEFFHALTESTOGD.14630452,14630452,POINT (16.31628021219675 48.16531176965843),Altmannsdorfer Straße (Breitenfurter Straße),Altmannsdorfer Straße (Breitenfurter Straße),"62,62A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Altmannsdorfer%20Straße&start=1,
OEFFHALTESTOGD.14630453,14630453,POINT (16.31591191219382 48.16525777001428),Altmannsdorfer Straße (Breitenfurter Straße),Altmannsdorfer Straße (Breitenfurter Straße),"16A,62A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Altmannsdorfer%20Straße&start=1,
OEFFHALTESTOGD.14630454,14630454,POINT (16.261006812433283 48.19474606984261),Pfeiffenbergergasse,Pfeiffenbergergasse,53A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Pfeiffenbergergasse&start=1,
OEFFHALTESTOGD.14630455,14630455,POINT (16.26088111175238 48.19472806949546),Pfeiffenbergergasse,Pfeiffenbergergasse,53A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Pfeiffenbergergasse&start=1,
OEFFHALTESTOGD.14630456,14630456,POINT (16.305365611954773 48.171111269615245),Am Fasangarten,Am Fasangarten,8A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Fasangarten&start=1,
OEFFHALTESTOGD.14630457,14630457,POINT (16.303101911906012 48.170721870079035),Am Fasangarten (Elisabethallee),Am Fasangarten (Elisabethallee),8A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Fasangarten&start=1,
OEFFHALTESTOGD.14630458,14630458,POINT (16.48414831247653 48.2391710697135),Zanggasse,Zanggasse,"26,85A,95B,97A,N23,N24",,1,https://anachb.vor.at?P=SQ&input=Wien%20Zanggasse&start=1,
OEFFHALTESTOGD.14630459,14630459,POINT (16.48424721310523 48.239254769530085),Zanggasse,Zanggasse,"26,85A,95B,97A",,1,https://anachb.vor.at?P=SQ&input=Wien%20Zanggasse&start=1,
OEFFHALTESTOGD.14630460,14630460,POINT (16.48424721310523 48.239254769530085),Zanggasse,Zanggasse,"26,85A,95B,97A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Zanggasse&start=1,
OEFFHALTESTOGD.14630461,14630461,POINT (16.48775061305911 48.23708896947417),Am Heidjöchl,Am Heidjöchl,"26,85A,95B,97A,N23,N24",,1,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Heidjöchl&start=1,
OEFFHALTESTOGD.14630462,14630462,POINT (16.487822513161895 48.237166670123145),Am Heidjöchl,Am Heidjöchl,"26,85A,95B,97A,N23",,1,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Heidjöchl&start=1,
OEFFHALTESTOGD.14630463,14630463,POINT (16.347415812936852 48.18682306977755),Am Hundsturm (Margaretenstraße),Am Hundsturm (Margaretenstraße),12A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Hundsturm&start=1,
OEFFHALTESTOGD.14630464,14630464,POINT (16.410351712743125 48.16946976936043),Am Kanal (Leberstraße),Am Kanal (Leberstraße),69A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Kanal&start=1,
OEFFHALTESTOGD.14630465,14630465,POINT (16.410549412433795 48.17043426981801),Am Kanal (Grillgasse),Am Kanal (Grillgasse),15A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Am%20Kanal&start=1,
